"id"	"title"	"tagnames"	"author_id"	"body"	"node_type"	"parent_id"	"abs_parent_id"	"added_at"	"score"	"state_string"	"last_edited_id"	"last_activity_by_id"	"last_activity_at"	"active_revision_id"	"extra"	"extra_ref_id"	"extra_count"	"marked"
"5339"	"Whether pdf of Unit and Homework is available?"	"cs101 pdf"	"100000458"	""	"question"	"\N"	"\N"	"2012-02-25 08:09:06.787181+00"	"1"	""	"\N"	"100000921"	"2012-02-25 08:11:01.623548+00"	"6922"	"\N"	"\N"	"204"	"f"
"2312"	"Feedback on Audio Quality"	"cs101 production audio"	"100005361"	"<p>We are looking for feedback on the audio in our videos. Tell us what you think and try to be as <em>specific</em> as possible.</p>"	"question"	"\N"	"\N"	"2012-02-23 00:28:02.321344+00"	"2"	""	"\N"	"201398145"	"2014-01-14 17:18:35.613939+00"	"2960"	"\N"	"\N"	"524"	"f"
"2741"	"where is the sample page for homework?"	"cs101 missing_info homework"	"100001178"	"<p>I am sorry if I am being a nob ... but I do not seem to find any information regarding the sample page reffered to on the 1 question of homework 1.</p>
<p>Where can I get the sample page?</p>
<p>Cheers</p>"	"question"	"\N"	"\N"	"2012-02-23 09:15:02.270861+00"	"0"	"(closed)"	"10843"	"100001178"	"2012-02-23 10:36:43.165119+00"	"3513"	"\N"	"\N"	"169"	"t"
"6361"	"When will unit 2 be online?"	"cs101 unit2"	"100003292"	"<p>When will unit 2 be online?</p>"	"question"	"\N"	"\N"	"2012-02-26 15:47:12.522262+00"	"0"	"(closed)"	"51919"	"100003292"	"2012-03-03 10:12:27.41521+00"	"21196"	"\N"	"\N"	"186"	"t"
"7185"	"Hungarian group"	"cs101 hungarian nationalities"	"100003268"	"<p>Hi there!</p>
<p>Any Hungarians doing the course? We could form a group!<br>
;)</p>"	"question"	"\N"	"\N"	"2012-02-27 15:09:11.184434+00"	"0"	""	"\N"	"100003268"	"2012-02-27 15:09:11.184434+00"	"9322"	"\N"	"\N"	"106"	"f"
"26454"	"Course Application."	"cs101 application."	"100003192"	"<p>Please tell about the Course Application. How to use the Course for higher education and jobs?</p>"	"question"	"\N"	"\N"	"2012-03-08 08:34:06.704674+00"	"-1"	""	"\N"	"100003192"	"2012-03-08 08:34:06.704674+00"	"34477"	"\N"	"\N"	"73"	"f"
"3778"	"What profile information is public?"	"cs101 profile"	"100008254"	"<p>Is there a way to change what is and isn't publicly displayed?</p>"	"question"	"\N"	"\N"	"2012-02-23 22:00:39.134386+00"	"0"	"(closed)"	"90176"	"100002517"	"2012-03-08 22:12:34.271971+00"	"4876"	"\N"	"\N"	"228"	"t"
"262"	"Course content Opera browser error"	"cs101 browsers issues"	"100000425"	"<p>It wont work with the opera browser, guys. </p>"	"question"	"\N"	"\N"	"2012-02-21 10:57:22.321732+00"	"1"	""	"\N"	"100006616"	"2012-03-22 16:12:10.024851+00"	"332"	"\N"	"\N"	"393"	"f"
"15084"	"Digital Board used"	"cs101 withe board digital"	"100002999"	"<p>Hi Guys, </p>
<p>Does anyone know the model of the Digital Board the professor has been used during the course ?</p>
<p>I am also a online professor in Brazil and I am interested on that type of gadget.</p>
<p>Thanks, <br>
Augusto</p>"	"question"	"\N"	"\N"	"2012-03-02 13:35:40.964189+00"	"0"	""	"\N"	"100004557"	"2012-03-02 13:38:25.194134+00"	"19481"	"\N"	"\N"	"178"	"f"
"6336"	"Unit 1: Same Value Q"	"cs101 value same"	"100002404"	"<p>what is the difference between [S] and [s+s) ? are they the same </p>"	"question"	"\N"	"\N"	"2012-02-26 15:16:00.995176+00"	"0"	""	"\N"	"100003151"	"2012-02-26 15:55:45.238065+00"	"8249"	"\N"	"\N"	"151"	"f"
"3017"	"Homework #1"	"cs101 homework"	"100000972"	"<p>I didn't exactly understand what the 1st homework assignment question is about? Do we have to select options which are related to learning search engine or what?</p>"	"question"	"\N"	"\N"	"2012-02-23 12:39:58.31747+00"	"1"	""	"\N"	"100005361"	"2012-02-25 04:59:11.157605+00"	"3884"	"\N"	"\N"	"786"	"f"
"8002818"	""	"cs387 "	"100071233"	"<p>this is a little off this topic, but since 10^1 has two digits (10^2 three, 10^3 four etc.), wouldn't the numbers with 100 digits be {10^99, 10^99 + 1, ..., 10^100 - 1} ?</p>
<p>in that case, the answer would be 114 (with 227.95 rounded to 228).</p>
<p>could anyone please point out why they use 10^100 for a ""100-decimal-digit number"", when it has 101 digits?</p>"	"answer"	"8002110"	"8002110"	"2012-05-09 02:41:40.721625+00"	"0"	""	"\N"	"100008880"	"2012-09-30 01:46:20.565857+00"	"8004204"	"\N"	"\N"	"0"	"f"
"8002165"	""	"cs387 "	"100063037"	"<p>It states , that the complexity increases exponentially with the size of x. Assume x is a n-bit number. If x is close to $% 2^n - 1 $% , we approximately need to check those $% 2^n $% numbers. Now let y be a n+m-bit prime, assuming the highest bit is not zero. We now increased the pool of numbers to check from $% 2^n $% to $%2^m \cdot 2^n$%, so by increasing the number of bits by m we get in the worst case $% 2^m $% more modulo operations. Thats the trick ;)</p>
<p>Well these are only approximate arguments but i think the idea is clear.</p>"	"answer"	"8002157"	"8002157"	"2012-04-30 18:01:05.800986+00"	"2"	""	"8026669"	"100063037"	"2012-04-30 18:03:19.983628+00"	"8002945"	"\N"	"\N"	"0"	"f"
"8000358"	""	"cs387 "	"100016314"	"<p>A tweak to the code above, another way to remove the loop</p>
<pre><code>def str_to_bin2(s, pad=7):
output = """"
for c in s:
    b = bin(ord(c))
    b = b[2:] # Cut off the '0b' from the front
    output = '0' * (pad-len(b)) + b + output
return output
</code></pre>"	"answer"	"8000102"	"8000102"	"2012-04-18 16:43:10.286688+00"	"0"	""	"\N"	"100016314"	"2012-04-18 16:43:10.286688+00"	"8000426"	"\N"	"\N"	"0"	"f"
"8001893"	""	"cs387 "	"100000176"	"<p>Simple. They agree that say a negative integer denotes heads and positive one denotes tails. Alice picks an arbitrary large integer, k. Then she picks x = {-k, k} depending on the outcome of the coin toss, hashes that and sends it over to Bob. Now, in order for Bob to cheat, he needs to either guess the value k or hash all positive and negative integers and search for the hash Alice gave him. In order for Alice to cheat, she needs to find two integers k1, k2 such that H(k1) == H(-k2) or H(-k1) == H(k2). While neither feat is impossible, they both certainly are unfeasible, provided that H is perfect.</p>"	"answer"	"8001397"	"8001397"	"2012-04-28 01:45:26.674644+00"	"0"	""	"8024086"	"100000176"	"2012-04-28 05:44:22.403128+00"	"8002550"	"\N"	"\N"	"0"	"f"
"8001595"	""	"cs387 "	"100007381"	"<p>Pycryto library version 2.3 for windows (windows installer) available at voidspace.org<br>
but I am not sure this is the same version that the Server is using.  Version 2.5 is available<br>
but we are not using the latest...maybe that is the problem?  A COMMENT should be added at the beginning of each set of code provided so that we aren't continually ""stuck"" using the wrong Version?</p>"	"answer"	"8001496"	"8001496"	"2012-04-24 23:25:52.710818+00"	"0"	""	"\N"	"100007381"	"2012-04-24 23:25:52.710818+00"	"8002118"	"\N"	"\N"	"0"	"f"
